comment_counts,name,comment_value,since,sales,url,location
1161,SlavMedievalShop,4.9234,2013,2887,https://www.etsy.com/uk/shop/SlavMedievalShop,"Warsaw, Poland"
6,PencilJoy,5,2016,30,https://www.etsy.com/uk/shop/PencilJoy,"Washington, D.C."
2290,FolkOfTheWood,4.9021,2011,8090,https://www.etsy.com/uk/shop/FolkOfTheWood,"Anderson, Indiana"
477,TabletopThings,4.9777,2017,2959,https://www.etsy.com/uk/shop/TabletopThings,"Medford, New Jersey"
308,TinyPlanetTreasures,4.9078,2017,1516,https://www.etsy.com/uk/shop/TinyPlanetTreasures,"London, United Kingdom"
5,HighlandforgeStudio,5,2018,22,https://www.etsy.com/uk/shop/HighlandforgeStudio,"Thunder Bay, Canada"
589,SanSanAtelier,4.8736,2014,3213,https://www.etsy.com/uk/shop/SanSanAtelier,"Madrid, Spain"
1169,HappyFiestaDesign,5,2014,14902,https://www.etsy.com/uk/shop/HappyFiestaDesign,"Berlin, Germany"
34,LePampille,5,2017,188,https://www.etsy.com/uk/shop/LePampille,
458,BeastmanCaravan,4.8939,2013,1813,https://www.etsy.com/uk/shop/BeastmanCaravan,"Hot Springs National Park, Arkansas"
25,nordwindrus,4.8571,2018,270,https://www.etsy.com/uk/shop/nordwindrus,"Moscow, Russia"
44,AGiftFromTheFire,4.8846,2017,170,https://www.etsy.com/uk/shop/AGiftFromTheFire,"Pittsburgh, Pennsylvania"
215,OlegWoodArt,4.94,2016,780,https://www.etsy.com/uk/shop/OlegWoodArt,"Sotrondio, Spain"
28,SmugglingDuds,5,2016,216,https://www.etsy.com/uk/shop/SmugglingDuds,
704,Gudbrand,4.9363,2014,4096,https://www.etsy.com/uk/shop/Gudbrand,"Berlin, Germany"
1762,WildchildDesigns77,4.991,2014,17313,https://www.etsy.com/uk/shop/WildchildDesigns77,"Trimdon, United Kingdom"
265,AsteriaAccessories1,4.9524,2018,2189,https://www.etsy.com/uk/shop/AsteriaAccessories1,"Birmingham, United Kingdom"
2546,WestWolfRenaissance,4.9653,2012,8380,https://www.etsy.com/uk/shop/WestWolfRenaissance,"Mankato, Minnesota"
172,VeinaCrafts,4.937,2017,700,https://www.etsy.com/uk/shop/VeinaCrafts,"London, United Kingdom"
782,VikingsArtifacts,4.989,2016,2343,https://www.etsy.com/uk/shop/VikingsArtifacts,"Häädemeeste, Estonia"
318,NuvaArt,4.9655,2016,998,https://www.etsy.com/uk/shop/NuvaArt,"Krosno, Poland"
10543,HandMek,4.9967,2013,54835,https://www.etsy.com/uk/shop/HandMek,
37,PatchmamaStore,4.9459,2018,307,https://www.etsy.com/uk/shop/PatchmamaStore,
64,RagnaroksEnd,4.7031,2015,315,https://www.etsy.com/uk/shop/RagnaroksEnd,"Dallas, Georgia"
2155,CraftLinds,4.9777,2014,10173,https://www.etsy.com/uk/shop/CraftLinds,"Ullapool, United Kingdom"
1249,BurlyBeardco,4.95,2010,11588,https://www.etsy.com/uk/shop/BurlyBeardco,
524,RagnarTheTrader,4.9679,2014,2439,https://www.etsy.com/uk/shop/RagnarTheTrader,"Saskatoon, Canada"
83,AyaliStudio,4.9759,2019,911,https://www.etsy.com/uk/shop/AyaliStudio,
392,TrollhillForge,4.9053,2014,1670,https://www.etsy.com/uk/shop/TrollhillForge,"Ingå, Finland"
37,WallisReidJewelry,5,2014,123,https://www.etsy.com/uk/shop/WallisReidJewelry,"Coos Bay, Oregon"
113,ImagineMetalCraft,4.8667,2014,440,https://www.etsy.com/uk/shop/ImagineMetalCraft,"Petaluma, California"
930,AmritaSPB,4.9486,2016,3631,https://www.etsy.com/uk/shop/AmritaSPB,"St Petersburg, Russia"
790,CELTICFUSIONDESIGN,4.9518,2015,2680,https://www.etsy.com/uk/shop/CELTICFUSIONDESIGN,"Ennis, Ireland"
4169,IslandTopCustomTags,4.9896,2009,17018,https://www.etsy.com/uk/shop/IslandTopCustomTags,"Lake Lure, North Carolina"
22,JennPICTURES,4.9545,2018,396,https://www.etsy.com/uk/shop/JennPICTURES,
140,TheDarkHorseWorkshop,4.9735,2007,1994,https://www.etsy.com/uk/shop/TheDarkHorseWorkshop,"Vancouver, Canada"
1,WelzArt,5,2019,6,https://www.etsy.com/uk/shop/WelzArt,
2204,TTTattoodotcom,4.91419537246,2014,12568,https://www.etsy.com/uk/shop/TTTattoodotcom,"Barcelona, Spain"
122,LuxOccultSupply,4.9426,2018,299,https://www.etsy.com/uk/shop/LuxOccultSupply,
242,ImmortalBeloveduk,4.9172,2016,840,https://www.etsy.com/uk/shop/ImmortalBeloveduk,"Earls Colne, United Kingdom"
1718,LykosLeather,4.9636,2014,8989,https://www.etsy.com/uk/shop/LykosLeather,"Sacramento, California"
3350,MAGICrebEL,4.9161,2012,16452,https://www.etsy.com/uk/shop/MAGICrebEL,
53,RazorStoneArchery,4.9167,2017,248,https://www.etsy.com/uk/shop/RazorStoneArchery,"Ozark, Missouri"
574,VikingGoodsStore,4.9252,2017,2353,https://www.etsy.com/uk/shop/VikingGoodsStore,"Dnipro, Ukraine"
9748,LitttleBits,4.9514,2008,31479,https://www.etsy.com/uk/shop/LitttleBits,"Beaver Dam, Wisconsin"
30,Swifterly,5,2014,119,https://www.etsy.com/uk/shop/Swifterly,"Stoke-on-Trent, United Kingdom"
112,TheDarkMarkCo,5,2013,433,https://www.etsy.com/uk/shop/TheDarkMarkCo,"Cloudcroft, New Mexico"
