comment_counts,comment_value,location,record_date,record_time,sales,search_key,search_pages,shop_name,since,url
1569,4.9896,"Greenwood, South Carolina",20190720,2019-07-20 15:47:29.763964,5883,viking,10,BlythHouseCreations,2007,https://www.etsy.com/uk/shop/BlythHouseCreations
3255,4.9459,"Dippoldiswalde, Germany",20190720,2019-07-20 15:47:29.919746,12274,viking,10,PeraPeris,2013,https://www.etsy.com/uk/shop/PeraPeris
14,5.0,"Malyn, Ukraine",20190720,2019-07-20 15:47:30.075907,72,viking,10,SvarogsHammerShop,2018,https://www.etsy.com/uk/shop/SvarogsHammerShop
16,4.9375,"Sioux Falls, South Dakota",20190720,2019-07-20 15:47:30.190437,68,viking,10,HeathenByNature,2018,https://www.etsy.com/uk/shop/HeathenByNature
129,4.9821,"Kharkiv, Ukraine",20190720,2019-07-20 15:47:30.307636,727,viking,10,TinSkulptures,2016,https://www.etsy.com/uk/shop/TinSkulptures
649,4.8113,"Ahmedabad, India",20190720,2019-07-20 15:47:30.347352,3434,viking,10,CrystalCrafCreations,2017,https://www.etsy.com/uk/shop/CrystalCrafCreations
581,4.9268,"Dnipro, Ukraine",20190720,2019-07-20 15:47:30.502579,2372,viking,10,VikingGoodsStore,2017,https://www.etsy.com/uk/shop/VikingGoodsStore
157,4.875,"Niagara Falls, New York",20190720,2019-07-20 15:47:30.662065,833,viking,10,ThePlugCrate,2017,https://www.etsy.com/uk/shop/ThePlugCrate
632,4.9524,"Carmarthen, United Kingdom",20190720,2019-07-20 15:47:30.729723,2133,viking,10,Touchwoodcraft,2010,https://www.etsy.com/uk/shop/Touchwoodcraft
13724,4.9262,"Fairbanks, Alaska",20190720,2019-07-20 15:47:30.809546,75258,viking,10,Mamachee,2008,https://www.etsy.com/uk/shop/Mamachee
723,4.9735,"Riga, Latvia",20190720,2019-07-20 15:47:30.968549,2831,viking,10,TextilesVintage,2013,https://www.etsy.com/uk/shop/TextilesVintage
10958,4.9036,"Prague, Czechia",20190720,2019-07-20 15:47:31.053629,43668,viking,10,WulflundJewelry,2013,https://www.etsy.com/uk/shop/WulflundJewelry
2,5.0,"Minsk, Belarus",20190720,2019-07-20 15:47:31.329131,10,viking,10,YotunsWorksop,2019,https://www.etsy.com/uk/shop/YotunsWorksop
2564,4.9653,"Mankato, Minnesota",20190720,2019-07-20 15:47:31.373570,8418,viking,10,WestWolfRenaissance,2012,https://www.etsy.com/uk/shop/WestWolfRenaissance
111,4.9192,"Blue Mounds, Wisconsin",20190720,2019-07-20 15:47:31.433209,488,viking,10,HappyHollowWoodCraft,2017,https://www.etsy.com/uk/shop/HappyHollowWoodCraft
97,4.974,"Ternopil, Ukraine",20190720,2019-07-20 15:47:31.513100,374,viking,10,WoodCarvedSculptures,2017,https://www.etsy.com/uk/shop/WoodCarvedSculptures
51,4.8627,"New York, United States",20190720,2019-07-20 15:47:31.672249,314,viking,10,VikingsScandinavian,2018,https://www.etsy.com/uk/shop/VikingsScandinavian
701,4.9387,"Frankfurt, Germany",20190720,2019-07-20 15:47:31.708867,3040,viking,10,Burgschneider,2017,https://www.etsy.com/uk/shop/Burgschneider
