ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.202,3,0.01,,0.422,,rg20rq,0.726
0.14,2,0.008,,0.452,,rg20sf,0.716
0.246,2,0.007,,0.555,,rg20rp,0.627
0.34,2,0.007,,0.517,,rg20sd,0.549
0.246,2,0.007,,0.555,,rg20rb,0.627
0.202,3,0.01,,0.422,,rg20rf,0.726
0.219,,,,0.5,,rg20sj,0.814
0.339,5,0.014,,0.596,,rg20sp,0.722
0.34,2,0.007,,0.517,,rg20rx,0.549
0.202,3,0.01,,0.422,,rg20sa,0.726
0.283,,,,0.463,,rg20ss,0.541
0.19,6,0.02,,0.385,,rg20st,0.816
0.202,3,0.01,,0.422,,rg20sg,0.726
0.202,3,0.01,,0.422,,rg20sl,0.726
0.202,3,0.01,,0.422,,rg20su,0.726
0.149,,,,0.431,,rg20sy,0.698
0.202,3,0.01,,0.422,,rg20sx,0.726
0.202,3,0.01,,0.422,,rg20sb,0.726
0.202,3,0.01,,0.422,,rg20qx,0.726
0.202,3,0.01,,0.422,,rg20tb,0.726
0.283,,,,0.463,,rg20rr,0.541
0.149,,,,0.431,,rg20td,0.698
0.202,3,0.01,,0.422,,rg20pz,0.726
0.202,3,0.01,,0.422,,rg20sq,0.726
0.283,,,,0.463,,rg20sw,0.541
0.165,1,0.003,,0.318,,rg20ta,0.788
0.149,,,,0.431,,rg20th,0.698
0.34,2,0.007,,0.517,,rg20se,0.549
0.159,,,,0.419,,rg20ry,0.636
0.202,3,0.01,,0.422,,rg20qy,0.726
0.149,,,,0.431,,rg20sz,0.698
0.374,,,,0.767,,rg20tn,0.709
0.433,3,0.012,,0.544,,rg20tt,0.644
0.202,3,0.01,,0.422,,rg20sh,0.726
0.149,,,,0.431,,rg20tg,0.698
0.149,,,,0.431,,rg20tx,0.698
0.149,,,,0.431,,rg20tf,0.698
0.433,3,0.012,,0.544,,rg20tz,0.644
0.374,,,,0.767,,rg20tw,0.709
0.374,,,,0.767,,rg20tp,0.709
0.149,,,,0.431,,rg20ud,0.698
0.19,6,0.02,,0.385,,rg20sn,0.816
0.103,,,,0.31,,rg20ug,0.58
0.376,11,0.04,,0.565,,rg20ub,0.606
0.103,,,,0.31,,rg20ul,0.58
0.374,,,,0.767,,rg20tl,0.709
0.202,3,0.01,,0.422,,rg20qz,0.726
0.433,3,0.012,,0.544,,rg20qd,0.644
0.374,,,,0.767,,rg20tu,0.709
