,ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
221,0.588,10.0,0.04,,0.629,,rg1 1rj,0.40700000000000003
222,0.514,5.0,0.013999999999999999,,0.385,,rg1 1rl,0.752
223,0.514,5.0,0.013999999999999999,,0.385,,rg1 1qu,0.752
224,0.514,5.0,0.013999999999999999,,0.385,,rg1 1qs,0.752
225,0.588,10.0,0.04,,0.629,,rg1 1sg,0.40700000000000003
226,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ry,0.44799999999999995
227,0.514,5.0,0.013999999999999999,,0.385,,rg1 1sh,0.752
228,0.514,5.0,0.013999999999999999,,0.385,,rg1 1qx,0.752
229,0.588,10.0,0.04,,0.629,,rg1 1rb,0.40700000000000003
230,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1ru,0.44799999999999995
231,0.514,5.0,0.013999999999999999,,0.385,,rg1 1sq,0.752
232,0.588,10.0,0.04,,0.629,,rg1 1sr,0.40700000000000003
233,0.588,10.0,0.04,,0.629,,rg1 1ss,0.40700000000000003
234,0.588,10.0,0.04,,0.629,,rg1 1su,0.40700000000000003
235,0.514,5.0,0.013999999999999999,,0.385,,rg1 1sb,0.752
236,0.374,,,,0.767,,rg1 1sx,0.7090000000000001
237,0.588,10.0,0.04,,0.629,,rg1 1sw,0.40700000000000003
238,0.588,10.0,0.04,,0.629,,rg1 1se,0.40700000000000003
239,0.514,5.0,0.013999999999999999,,0.385,,rg1 1rn,0.752
240,0.588,10.0,0.04,,0.629,,rg1 1ta,0.40700000000000003
241,0.588,10.0,0.04,,0.629,,rg1 1sz,0.40700000000000003
242,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1sf,0.44799999999999995
243,0.588,10.0,0.04,,0.629,,rg1 1tb,0.40700000000000003
244,0.588,10.0,0.04,,0.629,,rg1 1sn,0.40700000000000003
245,0.588,10.0,0.04,,0.629,,rg1 1te,0.40700000000000003
246,0.588,10.0,0.04,,0.629,,rg1 1sp,0.40700000000000003
247,0.588,10.0,0.04,,0.629,,rg1 1sy,0.40700000000000003
248,0.588,10.0,0.04,,0.629,,rg1 1tn,0.40700000000000003
249,0.588,10.0,0.04,,0.629,,rg1 1tg,0.40700000000000003
250,0.588,10.0,0.04,,0.629,,rg1 1lu,0.40700000000000003
251,0.45799999999999996,3.0,0.013000000000000001,,0.601,,rg1 1qp,0.613
252,0.588,10.0,0.04,,0.629,,rg1 1tt,0.40700000000000003
