ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.19,111,0.003,,0.385,,b45,0.918
0.287,58,0.003,,0.377,,da3,0.962
0.288,252,0.008,,0.397,,co3,0.939
0.432,569,0.014,,0.355,,s11,0.854
0.359,127,0.006,,0.339,,bn7,0.958
0.313,18,0.002,,0.376,,sg9,0.977
0.122,357,0.031,,0.244,,bd1,0.375
0.262,193,0.005,,0.419,,ip4,0.894
0.316,23,0.002,,0.344,,wr8,0.984
0.108,,,,0.316,,kw9,0.993
0.195,164,0.004,,0.43,,g74,0.977
0.112,232,0.006,,0.354,,rm8,0.641
0.09,22,0.001,,0.308,,dg9,0.993
0.227,,,,0.366,,ch1,
0.364,349,0.011,,0.437,,bt8,0.966
0.371,779,0.016,,0.476,,rg1,0.639
0.312,45,0.002,,0.438,,bl0,0.963
0.098,60,0.001,,0.358,,pl5,0.977
0.321,400,0.013,,0.365,,en4,0.765
0.209,143,0.005,,0.42,,g71,0.976
0.284,1497,0.029,,0.316,,yo1,0.895
0.175,2928,0.111,,0.191,,s3,0.485
0.191,104,0.003,,0.399,,b63,0.912
0.104,24,0.001,,0.361,,s72,0.983
0.234,100,0.003,,0.439,,bl5,0.948
0.191,68,0.002,,0.366,,ex8,0.983
0.271,597,0.015,,0.407,,ab9,0.897
0.197,102,0.004,,0.379,,en7,0.909
0.133,451,0.016,,0.227,,b12,0.186
0.172,,,,0.283,,ld1,
0.116,145,0.003,,0.392,,dy5,0.926
0.283,2,0.014,,0.514,,g79,0.945
0.258,28,0.003,,0.36,,td6,0.979
0.109,197,0.006,,0.377,,l9,0.951
0.035,145,0.005,,0.265,,ts3,0.944
0.256,1075,0.076,,0.232,,ls2,0.638
0.146,116,0.002,,0.43,,b98,0.91
0.3,629,0.008,,0.354,,n16,0.627
0.224,1605,0.022,,0.373,,so9,0.809
0.082,345,0.01,,0.27,,b21,0.162
0.151,236,0.007,,0.398,,me4,0.813
0.4,75,0.004,,0.347,,tn3,0.965
0.449,202,0.01,,0.422,,gu4,0.926
0.229,29,0.001,,0.398,,s36,0.983
0.412,636,0.017,,0.443,,se3,0.769
0.167,,,,0.338,,hs9,0.996
0.128,50,0.003,,0.394,,l10,0.962
0.321,217,0.007,,0.429,,ox5,0.927
0.285,856,0.016,,0.39,,e2,0.509
0.102,71,0.002,,0.414,,g67,0.98
0.209,662,0.009,,0.386,,cv3,0.776
0.3,139,0.006,,0.435,,b76,0.903
0.308,79,0.007,,0.442,,bh4,0.934
0.151,109,0.002,,0.379,,wn5,0.977
0.589,7,0.025,,0.492,,n1p,0.822
0.154,1431,0.081,,0.231,,le1,0.411
0.187,4,0.004,,0.456,,ph4,0.984
0.383,811,0.02,,0.452,,w6,0.694
0.233,12,0.001,,0.289,,tq6,0.982
0.426,569,0.022,,0.393,,eh3,0.917
0.23,88,0.002,,0.4,,wn6,0.975
0.233,135,0.002,,0.433,,pr7,0.974
0.158,63,0.002,,0.38,,dh4,0.98
0.09,80,0.002,,0.348,,st2,0.964
0.172,25,0.001,,0.341,,ta8,0.982
0.664,5,0.023,,0.539,,w1,0.802
0.442,233,0.009,,0.412,,sl5,0.901
0.365,50,0.003,,0.418,,rh4,0.95
0.353,1097,0.092,,0.449,,b1,0.519
0.385,1290,0.016,,0.448,,cb4,0.887
0.149,462,0.013,,0.284,,hd1,0.581
0.369,717,0.023,,0.327,,bt9,0.925
0.088,1004,0.023,,0.337,,m9,0.787
0.248,5,0.0,,0.308,,tr2,0.986
0.087,89,0.002,,0.363,,b37,0.912
0.078,5,0.018,,0.488,,bs0,0.94
0.186,68,0.002,,0.393,,me3,0.951
0.298,512,0.005,,0.421,,so5,0.946
0.332,367,0.021,,0.413,,ne7,0.877
0.182,,,,0.395,,np1,
0.201,2,0.001,,0.314,,ca9,0.99
0.136,79,0.013,,0.368,,hu2,0.84
0.108,184,0.005,,0.366,,dd3,0.956
0.217,1373,0.027,,0.369,,e16,0.455
0.276,,,,0.335,,sy5,
0.335,501,0.01,,0.394,,br6,0.901
0.11,110,0.004,,0.387,,g52,0.942
0.174,672,0.014,,0.338,,e10,0.389
0.165,122,0.004,,0.38,,l35,0.964
0.159,180,0.005,,0.397,,wf1,0.843
0.231,86,0.003,,0.406,,b62,0.882
0.234,1836,0.126,,0.241,,ne1,0.699
0.252,34,0.001,,0.407,,yo7,0.982
0.236,20,0.001,,0.263,,tq7,0.986
0.345,122,0.003,,0.433,,sg8,0.963
0.163,463,0.007,,0.356,,lu3,0.523
0.303,722,0.025,,0.261,,la2,0.939
0.25,340,0.009,,0.457,,hg1,0.942
0.094,332,0.01,,0.352,,st1,0.77
0.132,110,0.004,,0.427,,tf3,0.917
